Day,Reached TL1,Reached TL2,Reached TL3,Reached TL4
2021-03-09,0,0,0,2
2021-07-13,1,0,0,0
2021-10-27,6,0,0,0
2021-10-15,5,3,0,1
2021-11-10,1,0,0,0
2021-10-12,3,4,0,0
2021-09-06,3,1,0,0
2021-06-06,3,0,0,0
2021-03-03,3,0,0,1
2021-07-08,0,0,0,0
2021-06-27,3,1,0,0
2021-01-04,0,0,0,0
2021-01-27,1,0,0,0
2021-01-12,0,0,0,1
2021-07-17,2,0,0,0
2021-09-25,5,2,0,0
2021-11-02,3,1,0,0
2021-03-16,2,0,0,0
2021-09-26,5,3,0,0
2021-10-03,2,1,0,0
2021-06-19,3,0,0,0
2021-08-13,4,0,0,0
2021-03-12,2,0,0,0
2021-10-29,12,2,0,0
2021-05-30,5,1,0,0
2021-08-09,5,1,0,0
2021-07-12,0,0,0,1
2021-08-08,1,0,0,0
2021-06-03,4,1,0,1
2021-08-07,1,0,0,0
2021-07-23,0,1,0,0
2021-05-05,3,2,0,2
2021-06-24,2,2,0,0
2021-04-25,0,1,0,0
2021-10-06,3,1,0,2
2021-10-22,6,1,0,0
2021-09-03,1,0,0,0
2021-07-06,3,1,0,0
2021-05-03,0,0,0,0
2021-02-11,1,0,0,0
2021-07-19,2,0,0,0
2021-04-14,3,1,0,0
2021-04-17,1,0,0,0
2021-07-31,3,0,0,1
2021-06-05,5,0,0,0
2021-10-16,5,0,0,0
2021-10-20,7,1,0,0
2021-09-29,2,2,0,0
2021-05-28,3,0,0,0
2021-09-24,4,1,0,1
2021-05-04,2,0,0,2
2021-01-21,1,1,0,0
2021-01-24,1,0,0,0
2021-10-07,5,3,1,0
2021-02-22,1,0,0,0
2021-10-25,9,0,0,0
2021-08-18,5,0,0,0
2021-01-02,1,0,0,0
2021-04-28,1,0,0,0
2021-01-11,1,0,0,0
2021-07-10,0,1,0,0
2021-04-04,1,0,0,0
2021-06-28,2,1,0,0
2021-04-09,1,1,0,0
2021-02-10,0,0,0,1
2021-02-03,1,0,0,0
2021-07-27,1,2,0,0
2021-11-11,4,1,0,0
2021-03-02,2,0,0,0
2021-06-23,1,0,0,0
2021-07-15,1,2,0,0
2021-08-02,4,1,0,0
2021-02-23,1,0,0,1
2021-05-09,2,0,0,0
2021-09-22,3,3,0,0
2021-06-17,2,0,0,0
2021-06-12,3,0,0,0
2021-02-08,1,0,0,0
2021-05-25,2,0,0,0
2021-05-17,7,0,0,0
2021-06-02,5,0,0,0
2021-04-29,0,0,0,1
2021-05-31,4,1,0,0
2021-04-26,2,0,0,2
2021-10-28,6,1,0,0
2021-06-11,1,1,0,0
2021-06-14,7,0,0,2
2021-06-07,4,0,0,1
2021-09-05,1,1,0,0
2021-08-23,7,2,0,0
2021-10-14,6,2,0,0
2021-06-26,1,0,0,0
2021-11-08,8,0,0,0
2021-02-12,0,1,0,1
2021-02-19,0,0,0,1
2021-04-20,3,0,0,0
2021-09-18,4,0,0,0
2021-10-13,4,0,0,0
2021-08-11,4,2,0,0
2021-04-11,1,0,0,0
2021-08-06,5,1,0,0
2021-05-22,7,0,0,0
2021-05-19,2,1,0,1
2021-08-22,2,1,1,0
2021-09-19,3,0,0,0
2021-08-30,3,2,0,0
2021-01-22,2,0,0,0
2021-02-20,2,0,0,1
2021-07-03,1,0,0,0
2021-08-16,0,1,0,0
2021-09-16,6,0,0,0
2021-03-26,1,0,1,0
2021-11-09,4,1,0,1
2021-06-21,2,1,0,0
2021-02-09,1,2,0,0
2021-04-22,4,0,0,0
2021-09-20,3,1,0,0
2021-02-17,1,0,0,2
2021-05-11,1,2,0,0
2021-05-08,3,0,0,0
2021-08-29,3,0,0,0
2021-10-02,2,0,0,0
2021-01-20,3,0,0,3
2021-05-18,2,0,0,1
2021-10-08,1,2,0,0
2021-08-24,1,0,0,1
2021-04-08,2,0,0,1
2021-09-12,2,0,0,0
2021-03-15,1,1,0,2
2021-07-28,2,1,0,0
2021-02-25,1,0,0,0
2021-06-18,3,1,0,0
2021-10-18,6,1,0,1
2021-07-11,1,0,0,0
2021-08-19,4,3,0,1
2021-08-15,4,1,0,0
2021-10-04,0,2,1,0
2021-02-04,2,0,0,1
2021-02-01,0,0,0,2
2021-10-19,7,1,0,1
2021-03-08,1,0,0,0
2021-07-29,5,2,0,1
2021-03-10,1,2,0,0
2021-05-21,7,1,0,1
2021-06-25,0,0,0,2
2021-09-09,11,4,0,1
2021-10-11,3,1,0,1
2021-04-05,1,0,0,0
2021-06-04,9,3,0,0
2021-09-11,8,0,0,0
2021-01-25,5,1,0,2
2021-07-01,8,0,0,1
2021-05-29,8,2,0,0
2021-08-25,3,0,0,1
2021-02-07,2,1,0,1
2021-09-04,1,1,0,0
2021-08-10,16,2,0,1
2021-08-14,4,1,0,0
2021-03-01,1,0,0,0
2021-04-07,0,0,0,3
2021-03-28,1,0,0,1
2021-08-21,6,1,0,0
2021-03-06,2,0,0,0
2021-11-04,5,1,0,0
2021-06-16,5,2,0,0
2021-01-28,2,0,0,0
2021-05-16,7,0,0,0
2021-07-09,0,1,0,0
2021-01-08,0,0,0,0
2021-09-23,4,2,0,0
2021-07-07,1,0,0,0
2021-09-14,5,4,0,1
2021-04-15,0,2,0,0
2021-07-22,1,0,0,0
2021-04-21,1,0,0,0
2021-03-30,2,0,0,1
2021-03-05,0,1,0,1
2021-03-04,2,0,0,0
2021-09-27,10,4,0,1
2021-08-05,1,0,0,1
2021-02-26,3,0,0,1
2021-05-24,4,0,0,2
2021-03-23,2,0,0,0
2021-03-29,3,0,0,2
2021-05-26,6,0,0,0
2021-11-12,7,4,0,0
2021-10-30,7,0,0,0
2021-11-01,8,1,0,2
2021-01-14,2,1,0,0
2021-02-21,2,0,0,0
2021-09-08,8,2,0,1
2021-05-12,2,0,0,1
2021-09-02,5,2,0,0
2021-08-20,7,0,0,0
2021-06-22,3,0,0,4
2021-05-15,7,1,0,0
2021-05-27,5,1,0,0
2021-11-05,5,2,0,0
2021-01-26,3,0,0,0
2021-05-13,1,0,0,1
2021-07-26,6,0,0,0
2021-04-23,2,2,0,0
2021-02-15,1,0,0,0
2021-10-10,4,0,0,0
2021-03-22,0,0,0,1
2021-03-14,0,1,0,0
2021-06-01,6,0,0,1
2021-11-07,6,1,0,0
2021-01-13,2,0,0,1
2021-09-01,5,1,0,0
2021-10-01,6,3,0,0
2021-05-14,4,0,0,1
2021-10-24,10,2,0,0
2021-01-05,2,0,0,0
2021-06-10,5,1,0,0
2021-04-30,0,1,0,0
2021-07-24,1,0,0,0
2021-09-13,6,1,0,1
2021-11-06,9,2,0,0
2021-09-28,4,0,1,1
2021-10-21,4,1,0,1
2021-03-19,1,0,0,0
2021-07-05,4,3,0,1
2021-08-26,3,3,0,0
2021-06-20,1,1,0,0
2021-08-31,2,1,0,0
2021-05-02,1,0,0,0
2021-03-18,1,0,0,0
2021-09-17,3,1,0,0
2021-07-21,2,0,0,1
2021-07-16,2,0,0,0
2021-06-30,3,0,0,0
2021-06-15,3,2,0,0
2021-08-01,2,0,0,0
2021-03-24,1,0,0,0
2021-10-31,8,3,0,1
2021-07-25,2,1,0,0
2021-09-30,7,0,0,0
2021-03-27,1,0,0,0
2021-05-10,3,1,0,2
2021-09-21,5,0,1,0
2021-08-04,5,0,0,0
2021-08-17,4,0,0,0
2021-04-13,4,0,0,0
2021-04-06,1,0,0,1
2021-07-14,4,0,0,0
2021-10-23,11,3,0,0
2021-09-10,4,0,0,0
2021-07-30,2,3,0,0
2021-04-03,1,0,0,0
2021-09-07,5,1,0,0
2021-02-24,2,0,0,1
2021-04-19,1,2,0,0
2021-10-09,2,1,0,0
2021-03-25,1,0,0,0
2021-02-05,2,0,0,0
2021-02-18,0,1,0,0
2021-06-08,1,1,0,1
2021-07-02,3,0,0,1
2021-06-29,1,0,0,0
2021-09-15,3,2,0,0
2021-05-07,2,1,0,0
2021-10-05,4,0,1,0
2021-05-06,5,0,0,1
2021-04-16,1,1,0,0
2021-10-26,5,2,0,0
2021-08-28,2,0,0,0
2021-05-23,3,0,0,0
2021-04-18,2,0,0,0
2021-07-18,1,0,0,1
2021-05-20,6,3,0,0
2021-03-11,0,0,0,0
2021-04-02,1,0,0,0
2021-11-03,3,1,0,1
2021-08-12,6,1,0,1
2021-04-27,1,0,0,0
2021-01-29,2,1,0,0
2021-01-01,0,0,0,0
2021-01-06,1,0,0,0
2021-02-02,1,0,0,3
2021-08-27,5,3,0,0
2021-10-17,4,0,0,0
2021-08-03,4,1,0,1
